City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
161,Nikolskoye,RU,59.7035,30.7861,71.49,65,5.57,broken clouds
162,San Pedro,PH,14.35,121.0167,82.15,20,3.44,few clouds
163,Kalabo,ZM,-14.97,22.6814,64.04,74,5.08,broken clouds
164,Aljezur,PT,37.3191,-8.8033,73.35,79,7.38,broken clouds
165,Portland,US,45.5234,-122.6762,69.57,75,4.0,broken clouds
166,Edd,ER,13.9297,41.6925,89.55,60,2.21,broken clouds
167,Ostrovnoy,RU,68.0531,39.5131,70.09,2,17.69,clear sky
168,Ust-Ilimsk,RU,58.0006,102.6619,45.57,0,2.1,clear sky
169,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,36,4.99,scattered clouds
170,Estelle,US,29.8458,-90.1067,92.05,40,9.22,scattered clouds
171,Huanta,PE,-12.9333,-74.25,66.6,30,2.3,scattered clouds
172,Lakatoro,VU,-16.0999,167.4164,75.51,82,7.63,broken clouds
173,Jamestown,US,42.097,-79.2353,78.19,75,4.0,broken clouds
174,Puerto Maldonado,PE,-12.6,-69.1833,75.6,75,4.61,broken clouds
175,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,83.46,51,4.47,broken clouds
176,Avarua,CK,-21.2078,-159.775,71.65,75,6.91,broken clouds
177,Zermatt,CH,46.0213,7.7491,69.3,99,6.71,overcast clouds
178,Constitucion,CL,-35.3333,-72.4167,62.91,2,7.7,clear sky
179,Venado Tuerto,AR,-33.7456,-61.9688,72.77,0,13.73,clear sky
180,Esperance,AU,-33.8667,121.9,53.44,53,6.78,broken clouds
181,Magomeni,TZ,-6.8,39.25,76.48,97,8.28,overcast clouds
182,Nalut,LY,30.3333,10.85,89.56,79,12.44,broken clouds
183,Mecca,SA,21.4267,39.8261,96.37,54,3.06,broken clouds
184,Loa Janan,ID,-0.583,117.095,74.55,82,2.57,broken clouds
185,Cuitzeo,MX,20.3333,-102.7833,82.27,19,0.54,few clouds
186,Makinsk,KZ,52.6292,70.4169,48.27,71,6.46,broken clouds
187,Faanui,PF,-16.4833,-151.75,79.81,38,10.67,light rain
188,Oswego,US,43.4501,-76.1497,77.95,100,6.96,overcast clouds
189,Atuona,PF,-9.8,-139.0333,78.66,17,16.71,few clouds
190,Lingao,CN,19.9103,109.6859,79.56,97,15.21,overcast clouds
191,Noumea,NC,-22.2763,166.4572,71.01,100,7.2,overcast clouds
192,Lompoc,US,34.6391,-120.4579,84.94,1,9.22,clear sky
