City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Gizo,SB,80.42,few clouds,-8.103,156.8419,Imagination Island
459,San Rafael,AR,71.53,clear sky,-34.6177,-68.3301,Hotel San Rafael
462,Hami,CN,75.72,light rain,42.8,93.45,Laoyutang Resort
465,Makat,KZ,77.18,overcast clouds,47.6469,53.3463,Umit
468,Cody,US,76.62,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
469,Marseille,FR,83.95,broken clouds,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
471,West Fargo,US,79.02,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
472,Palauig,PH,81.37,overcast clouds,15.435,119.9045,Myhousebythesea
474,La Romana,DO,84.56,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
475,Wanning,CN,80.02,overcast clouds,18.8003,110.3967,Paradise Hotel
476,Jamalpur,BD,77.59,light rain,24.9167,89.9333,College hostel
478,Eureka,US,74.19,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
479,Ciudad Bolivar,VE,88.63,broken clouds,8.1222,-63.5497,Hotel Edi
481,Baracoa,CU,86.68,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
484,Cacoal,BR,84.9,broken clouds,-11.4386,-61.4472,Hotel BR 364
489,Villa Constitucion,AR,73.36,clear sky,-33.2278,-60.3297,HOTEL EMBAJADOR
490,Shahrud,IR,76.17,clear sky,36.4182,54.9763,Royal Hotel
493,Dwarka,IN,85.44,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
494,Kavaratti,IN,83.88,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
497,Hambantota,LK,80.53,broken clouds,6.1241,81.1185,Bungalow 63
498,Abha,SA,78.62,overcast clouds,18.2164,42.5053,Abha Hotel
499,Muisne,EC,78.19,overcast clouds,0.6,-80.0333,Quinta Samay
500,Faya,SA,77.52,broken clouds,18.3851,42.4509,مقبرة ال مجمل
502,Guayaramerin,BO,80.65,scattered clouds,-10.8368,-65.3614,Hostal Funf
503,Salinas,US,76.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
504,Japura,ID,75.61,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
505,Surt,LY,74.32,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
506,Roebourne,AU,74.95,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
507,Iaciara,BR,89.22,broken clouds,-14.0958,-46.6317,Hotel Matinha
509,Lahat,ID,73.13,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
510,Hastings,GB,77.27,scattered clouds,50.8552,0.5729,Zanzibar Hotel
511,Katsuura,JP,74.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
512,Gustavo Diaz Ordaz,MX,92.01,overcast clouds,26.2333,-98.5833,Chikas En El Hotel
513,Chalchihuites,MX,75.85,few clouds,23.4833,-103.8833,Hotel Posada Real
515,Matara,LK,79.38,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
520,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
525,Padang,ID,77.95,heavy intensity rain,-0.9492,100.3543,Mercure Padang
528,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
529,Havre,FR,72.57,broken clouds,49.5833,0.3333,gite bois jourdain
531,Saint-Joseph,RE,71.96,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
533,Mende,FR,70.3,broken clouds,44.6667,3.5,Le Plateau du Roy
535,Naica,MX,90.7,scattered clouds,27.85,-105.4833,Departamentos Nicole
538,Tongliao,CN,72.14,broken clouds,43.6125,122.2653,Meirujia Hotel
541,Axim,GH,82.36,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
544,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
545,Tomatlan,MX,91.89,scattered clouds,19.9333,-105.25,El Salvial
546,Lata,PT,81.48,broken clouds,40.1629,-8.3327,Casa Maquia
547,Moulins,FR,81.88,broken clouds,46.5,3.3333,ibis Moulins Sud
549,Marshfield,US,80.33,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
550,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
552,Camacha,PT,72.54,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
554,Lorengau,PG,81.75,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
555,Inirida,CO,71.47,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
556,Manggar,ID,82.47,scattered clouds,-2.8833,108.2667,Guest Hotel
557,Jiwani,PK,83.98,few clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
561,Sturgis,US,89.67,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
563,Dafeng,CN,77.5,broken clouds,23.4517,108.5881,Shenglong Hotel
564,Leshukonskoye,RU,73.11,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
566,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
567,Mayo,US,76.35,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
569,Havelock,US,83.01,overcast clouds,34.8791,-76.9013,Sherwood Motel
570,Huarmey,PE,71.11,scattered clouds,-10.0681,-78.1522,Hotel Miramar
571,Dymer,UA,73.54,broken clouds,50.7865,30.3026,Express Hostel
575,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
576,Jalu,LY,87.57,clear sky,29.0331,21.5482,صاحبة الفخامة
580,Paris,FR,77.52,overcast clouds,48.8534,2.3488,Hôtel Britannique - Paris Centre
581,Requena,ES,77.79,clear sky,39.4883,-1.1004,Hotel Avenida
583,South Venice,US,91.06,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
584,Ixtapa,MX,88.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
585,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
588,Rocky Mount,US,78.71,overcast clouds,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
592,Quang Ngai,VN,78.87,overcast clouds,15.1167,108.8,Central Hotel
593,Ogdensburg,US,79.5,clear sky,44.6942,-75.4863,Dewar’s Inn on the River
594,Buenos Aires,AR,71.49,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
597,Coria,ES,88.54,light rain,39.9879,-6.5377,Hotel San Cristóbal
599,Gilgit,PK,79.7,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
600,Aguimes,ES,75.87,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
601,Carutapera,BR,80.22,light rain,-1.195,-46.02,Lidera
602,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
604,Platteville,US,84.24,scattered clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
605,Mount Pleasant,US,90.18,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
606,Shiyan,CN,73.53,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
607,Cabot,US,92.8,clear sky,34.9745,-92.0165,Super 8 by Wyndham Cabot
608,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
611,Makokou,GA,73.44,moderate rain,0.5738,12.8642,WAMY RESIDENCE HOTEL
614,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
616,Worcester,US,71.67,scattered clouds,42.3334,-71.8328,Classic Suites & Inns
620,Vero Beach,US,94.03,broken clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
621,Luanda,AO,76.1,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
622,Madang,PG,76.35,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
624,Houston,US,93.33,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
625,Lufilufi,WS,80.22,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
626,Pandan,PH,79.38,overcast clouds,14.0453,124.1694,Bonifacio Lodge
